day,L,M,S
566,-0.2677,10.3554,0.12313
567,-0.2679,10.3622,0.12313
568,-0.2682,10.369,0.12313
569,-0.2684,10.3759,0.12313
570,-0.2686,10.3827,0.12313
571,-0.2688,10.3895,0.12314
572,-0.269,10.3963,0.12314
573,-0.2692,10.4031,0.12314
574,-0.2694,10.41,0.12314
575,-0.2696,10.4168,0.12314
576,-0.2698,10.4236,0.12315
577,-0.27,10.4304,0.12315
578,-0.2702,10.4372,0.12315
579,-0.2705,10.444,0.12315
580,-0.2707,10.4508,0.12316
581,-0.2709,10.4577,0.12316
582,-0.2711,10.4645,0.12316
583,-0.2713,10.4713,0.12316
584,-0.2715,10.4781,0.12316
585,-0.2717,10.4849,0.12317
586,-0.2719,10.4917,0.12317
587,-0.2721,10.4985,0.12317
588,-0.2723,10.5053,0.12317
589,-0.2725,10.5121,0.12318
590,-0.2727,10.5189,0.12318
591,-0.2729,10.5257,0.12318
592,-0.273,10.5325,0.12319
593,-0.2732,10.5393,0.12319
594,-0.2734,10.5461,0.12319
595,-0.2736,10.5529,0.12319
596,-0.2738,10.5597,0.1232
597,-0.274,10.5665,0.1232
598,-0.2742,10.5733,0.1232
599,-0.2744,10.5801,0.1232
600,-0.2746,10.5869,0.12321
601,-0.2748,10.5937,0.12321
602,-0.275,10.6005,0.12321
603,-0.2751,10.6073,0.12322
604,-0.2753,10.6141,0.12322
605,-0.2755,10.6209,0.12322
606,-0.2757,10.6277,0.12323
607,-0.2759,10.6345,0.12323
608,-0.2761,10.6413,0.12323
609,-0.2763,10.6481,0.12324
610,-0.2764,10.6549,0.12324
611,-0.2766,10.6617,0.12324
612,-0.2768,10.6685,0.12325
613,-0.277,10.6753,0.12325
614,-0.2772,10.6821,0.12325
615,-0.2773,10.6889,0.12326
616,-0.2775,10.6957,0.12326
617,-0.2777,10.7025,0.12326
618,-0.2779,10.7093,0.12327
619,-0.278,10.7161,0.12327
620,-0.2782,10.7229,0.12327
621,-0.2784,10.7297,0.12328
622,-0.2786,10.7365,0.12328
623,-0.2787,10.7433,0.12328
624,-0.2789,10.7501,0.12329
625,-0.2791,10.7569,0.12329
626,-0.2793,10.7637,0.1233
627,-0.2794,10.7705,0.1233
628,-0.2796,10.7773,0.1233
629,-0.2798,10.7841,0.12331
630,-0.2799,10.7909,0.12331
631,-0.2801,10.7977,0.12332
632,-0.2803,10.8045,0.12332
633,-0.2804,10.8113,0.12332
634,-0.2806,10.8181,0.12333
635,-0.2808,10.8249,0.12333
636,-0.2809,10.8317,0.12334
637,-0.2811,10.8385,0.12334
638,-0.2813,10.8453,0.12335
639,-0.2814,10.8521,0.12335
640,-0.2816,10.8589,0.12336
641,-0.2818,10.8657,0.12336
642,-0.2819,10.8725,0.12336
643,-0.2821,10.8793,0.12337
644,-0.2822,10.8861,0.12337
645,-0.2824,10.8929,0.12338
646,-0.2826,10.8997,0.12338
647,-0.2827,10.9065,0.12339
648,-0.2829,10.9133,0.12339
649,-0.283,10.9202,0.1234
650,-0.2832,10.927,0.1234
651,-0.2834,10.9338,0.12341
652,-0.2835,10.9406,0.12341
653,-0.2837,10.9474,0.12342
654,-0.2838,10.9542,0.12342
655,-0.284,10.961,0.12343
656,-0.2841,10.9679,0.12343
657,-0.2843,10.9747,0.12344
658,-0.2844,10.9815,0.12344
659,-0.2846,10.9883,0.12345
660,-0.2847,10.9951,0.12345
661,-0.2849,11.0019,0.12346
662,-0.285,11.0088,0.12346
663,-0.2852,11.0156,0.12347
664,-0.2853,11.0224,0.12347
665,-0.2855,11.0292,0.12348
666,-0.2856,11.036,0.12348
667,-0.2858,11.0429,0.12349
668,-0.2859,11.0497,0.1235
669,-0.2861,11.0565,0.1235
670,-0.2862,11.0633,0.12351
671,-0.2864,11.0702,0.12351
672,-0.2865,11.077,0.12352
673,-0.2866,11.0838,0.12352
674,-0.2868,11.0906,0.12353
675,-0.2869,11.0975,0.12353
676,-0.2871,11.1043,0.12354
677,-0.2872,11.1111,0.12355
678,-0.2874,11.118,0.12355
679,-0.2875,11.1248,0.12356
680,-0.2876,11.1316,0.12356
681,-0.2878,11.1384,0.12357
682,-0.2879,11.1453,0.12358
683,-0.2881,11.1521,0.12358
684,-0.2882,11.1589,0.12359
685,-0.2883,11.1658,0.12359
686,-0.2885,11.1726,0.1236
687,-0.2886,11.1795,0.12361
688,-0.2887,11.1863,0.12361
689,-0.2889,11.1931,0.12362
690,-0.289,11.2,0.12362
691,-0.2891,11.2068,0.12363
692,-0.2893,11.2137,0.12364
693,-0.2894,11.2205,0.12364
694,-0.2895,11.2273,0.12365
695,-0.2897,11.2342,0.12366
696,-0.2898,11.241,0.12366
697,-0.2899,11.2479,0.12367
698,-0.2901,11.2547,0.12367
699,-0.2902,11.2616,0.12368
700,-0.2903,11.2684,0.12369
701,-0.2905,11.2753,0.12369
702,-0.2906,11.2821,0.1237
703,-0.2907,11.2889,0.12371
704,-0.2909,11.2958,0.12371
705,-0.291,11.3026,0.12372
706,-0.2911,11.3095,0.12373
707,-0.2912,11.3163,0.12373
708,-0.2914,11.3232,0.12374
709,-0.2915,11.33,0.12375
710,-0.2916,11.3369,0.12375
711,-0.2917,11.3438,0.12376
712,-0.2919,11.3506,0.12377
713,-0.292,11.3575,0.12377
714,-0.2921,11.3643,0.12378
715,-0.2922,11.3712,0.12379
716,-0.2924,11.378,0.12379
717,-0.2925,11.3849,0.1238
718,-0.2926,11.3917,0.12381
719,-0.2927,11.3986,0.12382
720,-0.2928,11.4055,0.12382
721,-0.293,11.4123,0.12383
722,-0.2931,11.4192,0.12384
723,-0.2932,11.426,0.12384
724,-0.2933,11.4329,0.12385
725,-0.2934,11.4397,0.12386
726,-0.2936,11.4466,0.12387
727,-0.2937,11.4535,0.12387
728,-0.2938,11.4603,0.12388
729,-0.2939,11.4672,0.12389
730,-0.294,11.4741,0.12389
